name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Broncho,Group,,US,2010,,Norman,"Norman, Cleveland County, Oklahoma, United States",,United States,,
Dirty Projectors,Group,,US,2002,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
The Beach Boys,Group,,US,1961,,Hawthorne,"Hawthorne, Los Angeles County, California, United States",,United States,,
Mocky,Person,Male,CA,1974-10-07,,Saskatchewan,"Saskatchewan, Canada",,Canada,,
Talking Heads,Group,,US,1974,1991,New York,"New York, New York, United States",,United States,,
Thao & the Get Down Stay Down,Group,,US,2003,,,,,United States,,
Tiny Ruins,Person,Female,NZ,,,,,,New Zealand,,
April March,Person,Female,US,1965-04-20,,,,,United States,,
Bibio,Person,Male,,1978,,,,,West Midlands,,
Elvis Costello,Person,Male,GB,1954-08-25,,Paddington,"Paddington, Westminster, London, England, United Kingdom",,United Kingdom,,
Rainy Milo,,,,,,,,,,,
Jorge Ben Jor,Person,Male,BR,1942-03-22,,Rio de Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",,Brazil,,
Wilson Simonal,Person,Male,BR,1939-02-26,2000-06-25,Rio de Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",,Brazil,,
Milton Nascimento,Person,Male,BR,1942-10-26,,Rio de Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",,Brazil,,
Pierre Cavalli,Person,Male,CH,1928-07-12,1985-03-28,,,,Switzerland,,
Connan Mockasin,Person,Male,NZ,,,,,,New Zealand,,
Sibylle Baier,Person,Female,DE,,,,,,Germany,,
King Tuff,Person,Male,US,,,,,,United States,,
Mndsgn,Person,Male,US,,,,,,United States,,
Paul McCartney,Person,Male,GB,1942-06-18,,Liverpool,"Liverpool, Merseyside, England, United Kingdom",,United Kingdom,,
Babes,Group,,US,,,Milwaukee,"Milwaukee, Milwaukee County, Wisconsin, United States",,United States,,
Majestico,Person,Male,,,,,,,,,
David Byrne,Person,Male,US,1952-05-14,,Dumbarton,"Dumbarton, West Dunbartonshire, Scotland, United Kingdom",,United States,,
Emitt Rhodes,Person,Male,US,1950-02-25,,Decatur,"Decatur, Macon County, Illinois, United States",,United States,,
Romare,Person,Male,,,,,,,,,
Ex Hex,Group,,,2013,,"Washington, D.C.","Washington, D.C., United States",,"Washington, D.C.",,
Spice Girls,Group,,GB,1996,2008-02-26,London,"London, England, United Kingdom",,United Kingdom,,
Karen Dalton,Person,Female,US,1937-07-19,1993-03-19,,,,United States,,
The Animals,,,,,,,,,,,
The Clientele,Group,,GB,1997,,,,,United Kingdom,,
CTM,Person,Female,DK,,,,,,Denmark,,
The Ghost of a Saber Tooth Tiger,Group,,,2008,,New York,"New York, New York, United States",,New York,,
Margo Guryan,Person,Female,US,1937-09-30,,New York,"New York, New York, United States",,United States,,
Danny Brown,Person,Male,US,1981-03-16,,Detroit,"Detroit, Wayne County, Michigan, United States",,United States,,
The Cyrkle,Group,,US,1965,1967,Easton,"Easton, Northampton County, Pennsylvania, United States",,United States,,
Tirzah,Person,Female,,,,,,,,,
The Zombies,Group,,IT,,,,,,Italy,,
Cities Aviv,Person,Male,US,1989,,Memphis,"Memphis, Shelby County, Tennessee, United States",,United States,,
Yamasuki,Group,,FR,,,,,,France,,
Ty Segall,Person,Male,US,1987-06-08,,Palo Alto,"Palo Alto, Santa Clara County, California, United States",,United States,,
The Sonics,Group,,US,1960,1968,Bremerton,"Bremerton, Kitsap County, Washington, United States",,United States,,
The Lounge Lizards,Group,,US,1981,,,,,United States,,
Dirty Art Club,Group,,,,,Charlotte,"Charlotte, Saint Vincent and The Grenadines",,North Carolina,,
Angel Olsen,Person,Female,US,1987,,St. Louis,"St. Louis, Missouri, United States",,United States,,
