id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
822cb123-f728-4a1a-931c-fa27257bb83f,Harvey Danger,Group,,US,1992,2009,Seattle,,,United States,,,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle,"Seattle, King County, Washington, United States","47.6038321,-122.3300623"
78661da3-894c-4947-a34b-fb7edf585d9b,Our Lady Peace,Group,,CA,1992,,,,,Canada,,,71bbafaa-e825-3e15-8ca9-017dcad1748b,Canada,Canada,
f9ef7a22-4262-4596-a2a8-1d19345b8e50,Garbage,Group,,,1994,,Madison,,,Madison,,,188ae04a-63e2-423a-bc3d-f725f1214a69,Madison,"Madison, Dane County, Wisconsin, United States","43.074761,-89.3837612"
f400aa79-e028-4d15-9554-69fce01091fd,Blessid Union of Souls,Group,,US,1990,,Cincinnati,,,United States,,,b2cf490f-a8a7-4875-a1b7-addede3b327f,Cincinnati,"Cincinnati, Hamilton County, Ohio, United States","39.1014537,-84.5124601"
b9a2a9a6-7a40-48a6-bcb1-8eff5b89ad5b,Nada Surf,Group,,US,1992,,New York,,,United States,,,74e50e58-5deb-4b99-93a2-decbb365c07f,New York,"New York, New York, United States","40.7305991,-73.9865811"
ea38b4ff-86f2-4672-ac62-77a43ebc7a72,Goldfinger,Group,,ES,,,,,,Spain,,,471c46a7-afc5-31c4-923c-d0444f5053a4,Spain,Spain,
c118bc97-11a7-41dc-a55e-48c3bcf22ac2,Belly,Group,,US,1991,1996-07-26,Boston,,,United States,,,e331bfdf-b908-429c-a79b-710cf9c06abb,Boston,"Boston, Suffolk County, Massachusetts, United States","42.3604823,-71.0595677"
f053ae01-dae6-4aae-9883-e8c279fdbef4,Seal,Person,Male,,1963-02-19,,Paddington,,,Los Angeles,,,e34a8936-9612-4d35-b964-495d24e5cb6b,Paddington,"Paddington, Westminster, London, England, United Kingdom","51.5163047,-0.1792422"
9363f65f-64c6-4711-a86c-7cba56d9a456,The Rembrandts,Group,,US,1989,,Los Angeles,,,United States,,,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,"Los Angeles, Los Angeles County, California, United States","34.0543942,-118.2439408"
2a1b3044-7245-427c-90d9-7e9dc7673b34,Dog's Eye View,Group,,US,1994,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
58a53082-a629-4ff1-a44d-7492d6f6e8fb,The Lemonheads,Group,,US,1984,,Boston,,,United States,,,e331bfdf-b908-429c-a79b-710cf9c06abb,Boston,"Boston, Suffolk County, Massachusetts, United States","42.3604823,-71.0595677"
cba77ba2-862d-4cee-a8f6-d3f9daf7211c,Live,Group,,US,1990,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
e6e879c0-3d56-4f12-b3c5-3ce459661a8e,Jeff Buckley,Person,Male,US,1966-11-17,1997-05-29,Anaheim,,,United States,,,7f1cf724-b398-42f8-aa82-ecd190736ebf,Anaheim,"Anaheim, Orange County, California, United States","33.8347516,-117.9117319"
baaf92f5-f2b2-4f51-9723-abed41a257f8,Local H,Group,,US,1987,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
9854d99f-d954-4c0f-9ae5-58a0cdd885f5,Crowded House,Group,,AU,1985,,Melbourne,,,Australia,,,b4e9352c-8edf-4911-8fa3-e852afa30501,Melbourne,"Melbourne, Victoria, Australia","-37.8142175,144.9631608"
60530915-9371-4b16-bc31-5c4456317ae0,Natalie Imbruglia,Person,Female,AU,1975-02-04,,Sydney,,,Australia,,,3f179da4-83c6-4a28-a627-e46b4a8ff1ed,Sydney,"Sydney, New South Wales, Australia","-33.8548156,151.2164539"
7944ed53-2a58-4035-9b93-140a71e41c34,Sting,Person,Male,GB,1951-10-02,,Wallsend,,,United Kingdom,,,a8b0d858-090f-466a-934c-1228cf6a862b,Wallsend,"Wallsend, North Tyneside, Tyne and Wear, England, United Kingdom","54.9911912,-1.5342041"
