image,stadium,city,state,team,conference,capacity,built,expanded
KSUDixStadium.JPG,Dix Stadium,Kent,OH,Kent State,MAC,"25,000",1969,2008
,,,,,,,,
GSU 2014 Graduation.jpg,Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,"24,300",1984,2014
,,,,,,,,
Yager-COC.jpg,Yager Stadium,Oxford,OH,Miami (OH),MAC,"24,286[159]",1983[159],2005[159]
,,,,,,,,
KiddBrewer2009-1.jpg,Kidd Brewer Stadium,Boone,NC,Appalachian State,Sun Belt,"24,050",1962,2009
,,,,,,,,
Peden Stadium Interior.jpg,Peden Stadium,Athens,OH,Ohio,MAC,"24,000",1929,2001
,,,,,,,,
Kent State BG 2012.JPG,Doyt Perry Stadium,Bowling Green,OH,Bowling Green,MAC,"23,724[47]",1966[47],
,,,,,,,,
FIU Stadium.JPG,FIU Stadium,Miami,FL,FIU,C-USA,"23,500[51]",1995,2012
,,,,,,,,
Scheumann Stadium.jpg,Scheumann Stadium,Muncie,IN,Ball State,MAC,"22,500",1967,2007
Insidesmith.jpeg,Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Western Kentucky,C-USA,"22,113",1968,2008
,,,,,,,,
Foreman Field Sep 09 against VUU.jpg,Foreman Field,Norfolk,VA,Old Dominion,C-USA,"20,118",1936,2009
Umassstadium2.jpg,Warren McGuirk Alumni Stadium[O 1],Hadley,MA,UMass,MAC,"17,000",1965,2014
Kibbiedomeui.jpg,Kibbie Dome,Moscow,ID,Idaho,Sun Belt,"16,000",1975,
,,,,,,,,
McColl-Richardson Field.JPG,Jerry Richardson Stadium,Charlotte,NC,Charlotte,C-USA,"15,314",2013,
